Reference,A_Node,B_Node,A_Node_X,A_Node_Y,B_Node_X,B_Node_Y,Lanes,FF_Speed (kph),Distance (m),Average_Q (PCUs),Capacity (PCUs),V_C (%),Delay (s),Total_Time (s),Net_Speed_kph (kph),Actual_Flow_Total (PCUs),Demand_Flow_Total (PCUs),Capacity_Indices,Fixed_Flow (PCUs),Actual_Flow_UC1 (PCUs),Actual_Flow_UC2 (PCUs),Actual_Flow_UC3 (PCUs),Actual_Flow_UC4 (PCUs),Actual_Flow_UC5 (PCUs),Actual_Flow_UC6 (PCUs),Actual_Flow_UC7 (PCUs),Actual_Flow_UC8 (PCUs),Actual_Flow_UC9 (PCUs),Actual_Flow_UC10 (PCUs),Actual_Flow_%_HGV (%),Demand_Flow_UC1 (PCUs),Demand_Flow_UC2 (PCUs),Demand_Flow_UC3 (PCUs),Demand_Flow_UC4 (PCUs),Demand_Flow_UC5 (PCUs),Demand_Flow_UC6 (PCUs),Demand_Flow_UC7 (PCUs),Demand_Flow_UC8 (PCUs),Demand_Flow_UC9 (PCUs),Demand_Flow_UC10 (PCUs),Demand_Flow_%_HGV (%),Car_Veh_Actual_Tot,LGV_Veh_Actual_Tot,HGV_Veh_Actual_Tot,Car_PCU_Actual_Tot,LGV_PCU_Actual_Tot,HGV_PCU_Actual_Tot,Car_Veh_Demand_Tot,LGV_Veh_Demand_Tot,HGV_Veh_Demand_Tot,Car_PCU_Demand_Tot,LGV_PCU_Demand_Tot,HGV_PCU_Demand_Tot,Fixed_Tot,Fixed_PCU_Tot,Period,wkt_geom
1011-1014,1011,1014,56192,32066,56194,32053,2,48,132,0.76,2111.64,40.07,6.45,16.35,29.07,846.23,846.23,0,14,1.11,344.47,2.07,50.94,24.75,9.53,217.42,18.37,121.93,41.66,0.049230115,1.11,344.47,2.07,50.94,24.75,9.53,217.42,18.37,121.93,41.66,4.923011474,668.66,121.93,18.11304348,668.66,121.93,41.66,668.66,121.93,18.11304348,668.66,121.93,41.66,7,14,AM,"LineString (56192 32066, 56194 32053)"
4010-1015,4010,1015,56236,32037,56257,32049,1,48,261,1.45,889.49,37.85,17.35,36.92,25.45,336.7,336.7,0,50,8.59,61.71,6.72,6.65,25.12,45.95,40.04,49.31,39.6,3,0.008910009,8.59,61.71,6.72,6.65,25.12,45.95,40.04,49.31,39.6,3,0.891000891,244.09,39.6,1.304347826,244.09,39.6,3,244.09,39.6,1.304347826,244.09,39.6,3,25,50,AM,"LineString (56236 32037, 56257 32049)"
1120-1015,1120,1015,56253,32070,56257,32049,1,48,204,1.02,938.31,37.71,12.72,28.02,26.21,353.84,353.84,0,0,1.82,142.26,2.02,16.74,11.62,10.2,104.86,14.77,49.55,0,0,1.82,142.26,2.02,16.74,11.62,10.2,104.86,14.77,49.55,0,0,304.29,49.55,0,304.29,49.55,0,304.29,49.55,0,304.29,49.55,0,0,0,AM,"LineString (56253 32070, 56257 32049)"
1016-1015,1016,1015,56281,32044,56257,32049,2,48,245,1.4,1635,46.55,13.64,32.01,27.55,761.11,761.11,0,48,3.54,269.28,5.06,37.34,33.18,33.87,180.94,63.92,81.56,4.43,0.005820446,3.54,269.28,5.06,37.34,33.18,33.87,180.94,63.92,81.56,4.43,0.582044645,627.13,81.56,1.926086957,627.13,81.56,4.43,627.13,81.56,1.926086957,627.13,81.56,4.43,24,48,AM,"LineString (56281 32044, 56257 32049)"
4012-1016,4012,1016,56296,32048,56281,32044,1,40,158,4,1330.18,69.98,19.96,34.18,16.64,930.87,930.87,0,48,3.66,359.89,3.76,50.66,32.03,30.04,257.55,68.95,76.33,0,0,3.66,359.89,3.76,50.66,32.03,30.04,257.55,68.95,76.33,0,0,806.54,76.33,0,806.54,76.33,0,806.54,76.33,0,806.54,76.33,0,24,48,AM,"LineString (56296 32048, 56281 32044)"
7044-1016,7044,1016,56280,32028,56281,32044,1,40,160,2.35,740.73,54.5,26.26,40.66,14.17,403.67,403.67,0,0,1.3,135.75,5.92,20.93,22.81,29.56,97.04,22.77,63.15,4.43,0.010974311,1.3,135.75,5.92,20.93,22.81,29.56,97.04,22.77,63.15,4.43,1.09743107,336.08,63.15,1.926086957,336.08,63.15,4.43,336.08,63.15,1.926086957,336.08,63.15,4.43,0,0,AM,"LineString (56280 32028, 56281 32044)"
1015-1016,1015,1016,56257,32049,56281,32044,1,48,245,1.53,1405.34,42.08,11.29,29.66,29.74,591.33,591.33,0,50,5.58,185.63,7.68,20.73,32.04,42.34,123.98,45.79,74.56,3,0.005073309,5.58,185.63,7.68,20.73,32.04,42.34,123.98,45.79,74.56,3,0.507330932,463.77,74.56,1.304347826,463.77,74.56,3,463.77,74.56,1.304347826,463.77,74.56,3,25,50,AM,"LineString (56257 32049, 56281 32044)"
1020-1018,1020,1018,56334,31996,56338,32047,1,32,500,4.21,506.61,80.08,54.46,110.71,16.26,401.71,401.71,0,0,4.41,86.53,5.31,15.89,26.16,38.23,110.43,71.28,42.57,0.9,0.002240422,4.41,86.53,5.31,15.89,26.16,38.23,110.43,71.28,42.57,0.9,0.22404222,358.24,42.57,0.391304348,358.24,42.57,0.9,358.24,42.57,0.391304348,358.24,42.57,0.9,0,0,AM,"LineString (56334 31996, 56338 32047)"
2147-1018,2147,1018,56331,32049,56338,32047,2,40,85,1.1,1735,37.76,7.73,15.38,19.9,655.14,655.14,0,50,4.96,223.44,10.24,24.6,37.42,55.43,135.56,47.8,64.8,0.9,0.001373752,4.96,223.44,10.24,24.6,37.42,55.43,135.56,47.8,64.8,0.9,0.137375218,539.45,64.8,0.391304348,539.45,64.8,0.9,539.45,64.8,0.391304348,539.45,64.8,0.9,25,50,AM,"LineString (56331 32049, 56338 32047)"
1019-1018,1019,1018,56346,32048,56338,32047,2,40,90,7.02,1117.32,91.09,38.49,46.59,6.95,1017.74,1017.74,0,44,1.97,443.93,3.07,64.24,27.63,20.4,312.48,32.48,67.53,0,0,1.97,443.93,3.07,64.24,27.63,20.4,312.48,32.48,67.53,0,0,906.2,67.53,0,906.2,67.53,0,906.2,67.53,0,906.2,67.53,0,22,44,AM,"LineString (56346 32048, 56338 32047)"
1018-1019,1018,1019,56338,32047,56346,32048,2,40,90,2.9,1672.78,42.41,21.1,29.2,11.1,705.42,705.42,0,50,4.24,223.12,13.81,24.9,46.07,71.95,144.5,52.72,74.12,0,0,4.24,223.12,13.81,24.9,46.07,71.95,144.5,52.72,74.12,0,0,581.31,74.12,0,581.31,74.12,0,581.31,74.12,0,581.31,74.12,0,25,50,AM,"LineString (56338 32047, 56346 32048)"
