Reference,A_Node,B_Node,A_Node_X,A_Node_Y,B_Node_X,B_Node_Y,Lanes,FF_Speed,Distance,Average_Q,Capacity,V_C,Delay,Total_Time,Net_Speed,CalValFlag,AllObs,AllMod,AllDiff,AllGEH,AllFlowTest,CarObs,CarMod,CarDiff,CarGEH,CarFlowTest,LGVObs,LGVMod,LGVDiff,LGVGEH,LGVFlowTest,HGVObs,HGVMod,HGVDiff,HGVGEH,HGVFlowTest
2881-2691,2881,2691,574610,310070,574290,308230,1,80,2110,0.01,654.47,9.88,6.27,101.22,75.05,,,,,,,,,,,,,,,,,,,,,
2611-2691,2611,2691,578320,309850,574290,308230,1,80,4400,0,1277.52,16.59,6.75,204.75,77.36,,,,,,,,,,,,,,,,,,,,,
1322-2692,1322,2692,573150,319280,579110,320980,1,64,7100,0,1720,5.29,1.11,400.49,63.82,,,,,,,,,,,,,,,,,,,,,
2612-2692,2612,2692,584590,318840,579110,320980,1,64,5500,0,1720,3.86,1.09,310.47,63.78,,,,,,,,,,,,,,,,,,,,,
2748-2692,2748,2692,581590,315730,579110,320980,1,64,5900,0,639.85,0,5.96,337.83,62.87,,,,,,,,,,,,,,,,,,,,,
2812-2693,2812,2693,581760,315290,582990,315310,1,64,1150,0,977,18.34,0.11,64.8,63.89,,,,,,,,,,,,,,,,,,,,,
2697-2696,2697,2696,553590,314850,553580,314790,1,80,54,0,1730,3.61,1.08,3.51,55.39,,,,,,,,,,,,,,,,,,,,,
1339-2696,1339,2696,553950,314960,553580,314790,1,80,450,0,1235.87,8.02,4.61,24.86,65.17,,,,,,,,,,,,,,,,,,,,,
2714-2696,2714,2696,553540,314410,553580,314790,1,64,350,0,1730,9.57,1.15,20.84,60.47,,,,,,,,,,,,,,,,,,,,,
2822-2697,2822,2697,553660,314990,553590,314850,1,80,150,0,1127.91,8.35,2.87,9.62,56.14,,,,,,,,,,,,,,,,,,,,,
2696-2697,2696,2697,553580,314790,553590,314850,1,80,54,0,1666.45,9.94,1.2,3.63,53.56,,,,,,,,,,,,,,,,,,,,,
2707-2698,2707,2698,551210,313990,553250,314870,2,96,2300,0,3460,22,2.3,88.55,93.5,,,,,,,,,,,,,,,,,,,,,
1339-2698,1339,2698,553950,314960,553250,314870,2,96,700,0,3386.99,20.73,0.67,26.92,93.61,,,,,,,,,,,,,,,,,,,,,
2697-2698,2697,2698,553590,314850,553250,314870,1,80,300,0,1488.4,4.9,4.32,17.82,60.6,,,,,,,,,,,,,,,,,,,,,
6006-2699,6006,2699,561590,317510,561590,317070,1,64,500,0,1670,6.89,18.17,46.29,38.88,,,,,,,,,,,,,,,,,,,,,
2700-2699,2700,2699,561040,314000,561590,317070,2,48,3200,0,977,3.6,20.52,260.52,44.22,,,,,,,,,,,,,,,,,,,,,
2704-2699,2704,2699,559860,314220,561590,317070,2,80,4100,0,1648.74,4.92,11.86,196.36,75.17,Calibration,75.87408573,76.26826087,0.394175137,0.045193832,Pass Low,60.62451549,61.71,1.085484512,0.138791902,Pass Low,9.960176928,10.88,0.919823072,0.284949957,Pass Low,5.289393316,3.67826087,-1.611132447,-0.760863614,Pass Low
2704-2700,2704,2700,559860,314220,561040,314000,1,32,1500,0,660,0.07,2.73,171.48,31.49,,,,,,,,,,,,,,,,,,,,,
2699-2700,2699,2700,561590,317070,561040,314000,1,48,3200,0,619.78,3.2,6.04,246.04,46.82,,,,,,,,,,,,,,,,,,,,,
2705-2700,2705,2700,563580,313440,561040,314000,1,32,3200,0,660,0.06,2.73,362.73,31.76,,,,,,,,,,,,,,,,,,,,,
2850-2700,2850,2700,561650,311270,561040,314000,1,48,3570,0,619.78,5.68,6.24,273.99,46.91,Calibration,43.61324663,34.19782609,-9.41542054,-1.509503134,Pass Low,36.15674931,29.3,-6.856749307,-1.198549713,Pass Low,5.940296881,4.15,-1.790296881,-0.797054615,Pass Low,1.51620044,0.747826087,-0.768374353,-0.722182737,Pass Low
2806-2701,2806,2701,559390,314060,559470,314000,1,48,96,0,684.07,8.16,5.9,13.1,26.38,,,,,,,,,,,,,,,,,,,,,
2721-2701,2721,2701,559850,314200,559470,314000,1,48,466,0,911.95,8.3,4.07,39.02,42.99,,,,,,,,,,,,,,,,,,,,,
2706-2701,2706,2701,559710,311760,559470,314000,1,48,2600,0,977,3.65,2.04,197.04,47.5,Validation,36.06392584,34.21869565,-1.845230188,-0.311273087,Pass Low,27.93637671,28.62,0.683623287,0.128555617,Pass Low,4.5897481,4.49,-0.0997481,-0.046814752,Pass Low,3.537801027,1.108695652,-2.429105375,-1.593670513,Pass Low
2689-2703,2689,2703,556380,316890,557450,313930,1,48,3800,0,977,0.64,1.86,286.86,47.69,,,,,,,,,,,,,,,,,,,,,
2719-2703,2719,2703,559320,314160,557450,313930,1,48,2100,0,977,0.85,1.36,158.86,47.59,,,,,,,,,,,,,,,,,,,,,
1337-2703,1337,2703,557130,312440,557450,313930,1,48,1500,0,718.11,1.72,5.57,118.07,45.74,Validation,25.02083333,12.09565217,-12.92518116,-3.000324396,Pass Low,21.2718069,10.18,-11.0918069,-2.797013083,Pass Low,3.499026433,1.72,-1.779026433,-1.101292421,Pass Low,0.25,0.195652174,-0.054347826,-0.115132825,Pass Low
2721-2704,2721,2704,559850,314200,559860,314220,1,48,84,0,1715.31,4.75,1.12,7.42,40.76,,,,,,,,,,,,,,,,,,,,,
2699-2704,2699,2704,561590,317070,559860,314220,1,80,4100,0,1720,5.53,1.16,185.66,79.5,Calibration,86.84925426,87.78391304,0.934658779,0.100024116,Pass Low,69.71204071,71.06,1.347959285,0.160669547,Pass Low,11.45319272,11.05,-0.403192722,-0.120200317,Pass Low,5.684020828,5.673913043,-0.010107785,-0.004241518,Pass Low
2700-2704,2700,2704,561040,314000,559860,314220,1,32,1500,0,660,0.06,5.72,174.47,30.95,,,,,,,,,,,,,,,,,,,,,
1329-2705,1329,2705,563550,313990,563580,313440,1,64,600,0,1720,46.97,4.96,38.71,55.81,,,,,,,,,,,,,,,,,,,,,
2712-2705,2712,2705,563620,313250,563580,313440,1,64,210,0,1720,47.94,3.14,14.95,50.57,,,,,,,,,,,,,,,,,,,,,
2700-2705,2700,2705,561040,314000,563580,313440,1,32,3200,0,451.48,0.1,8.48,368.48,31.26,,,,,,,,,,,,,,,,,,,,,
