link_id,length_m,road_type
4000000009208373A,342.0688129,Mainline
4000000009209404A,508.8391624,Slip Road
4000000009209405A,806.8894243,Mainline
4000000009209892A,519.7196821,Mainline
4000000009209894A,123.420301,Mainline
4000000009209899A,298.7525837,Slip Road
4000000009210325A,240.6359806,Mainline
4000000009210326A,579.625922,Slip Road
4000000009210331A,147.8882542,Mainline
4000000009210337A,14.31766741,Mainline
4000000009211702A,206.0702458,Mainline
4000000009211704A,224.3392302,Mainline
4000000009211706A,485.2557198,Mainline at junction
4000000009211708A,69.32392598,Mainline
4000000009211710A,1043.472648,Mainline
4000000009212490A,496.5312759,Mainline at junction
4000000009212493A,523.3673334,Mainline
4000000009212494A,562.8001666,Mainline
4000000009212496A,421.5741061,Mainline
4000000009212498A,515.8046616,Slip Road
4000000009212500A,230.3484871,Roundabout
4000000009212504A,78.26795777,Roundabout
4000000009212509A,101.5897526,Mainline at junction
4000000009212510A,135.7430431,Mainline at junction
4000000009212511A,1118.652707,Mainline
4000000009212513A,62.31383592,Roundabout
4000000009212515A,14.30473763,Mainline at junction
4000000009212519A,12.12688542,Mainline
4000000009212521A,3.162182792,Roundabout
4000000009221438A,270.2020447,Mainline
4000000009222875A,69.43540401,Mainline
4000000009222877A,9.848756271,Mainline
4000000009222881A,863.704833,Slip Road
4000000009222882A,756.2484578,Slip Road
4000000009222888A,210.9029616,Slip Road
4000000009222895A,366.7290923,Slip Road
4000000009222896A,180.3643413,Slip Road
4000000009222912A,360.9400866,Slip Road
4000000009222917A,76.84266728,Slip Road
4000000009222918A,25.9998,Slip Road
4000000009222922A,22.27687496,Slip Road
4000000009222923A,31.68859086,Slip Road
4000000009222925A,12.16564014,Slip Road
4000000009223936A,659.1257603,Mainline
4000000009225718A,457.6717037,Slip Road
4000000009225719A,830.0809149,Slip Road
4000000009225723A,444.1099739,Mainline
4000000009225729A,303.1081374,Slip Road
4000000009225739A,455.8364169,Slip Road
4000000009225741A,231.6178685,Mainline
4000000009225742A,85.08148511,Mainline
4000000009225747A,1032.676816,Slip Road
4000000009225751A,606.6289882,Slip Road
4000000009225758A,182.3515955,Slip Road
4000000009225764A,58.08291994,Slip Road
4000000009225765A,80.72410832,Slip Road
4000000009230127A,401.5264443,Mainline
4000000009230128A,419.0367725,Slip Road
4000000009230131A,271.7958648,Slip Road
4000000009230142A,672.4302944,Mainline
4000000009230143A,736.1956379,Mainline
4000000009230146A,213.8979752,Slip Road
4000000009230153A,182.8005249,Mainline
4000000009230161A,118.089467,Slip Road
4000000009230168A,78.25522218,Mainline
4000000009230178A,82.10045554,Mainline
4000000009230183A,78.24155915,Mainline
4000000009230191A,19.41648784,Mainline
4000000009235259A,376.2886196,Mainline
4000000009235261A,318.9398224,Slip Road
4000000009235265A,135.5079046,Slip Road
4000000009236127A,302.1128444,Mainline
4000000009236134A,12.20641635,Mainline
4000000009236153A,128.9121203,At grade SRN A Road
4000000009236155A,119.0281936,At grade SRN A Road
4000000009236156A,173.0551164,At grade SRN A Road
4000000009236163A,101.9003988,At grade SRN A Road
4000000009236176A,41.14234984,At grade SRN A Road
4000000009236178A,40.80461003,At grade SRN A Road
4000000009236179A,75.84045992,At grade SRN A Road
4000000009236190A,29.00051451,At grade SRN A Road
4000000009236198A,30.50687441,At grade SRN A Road
4000000009236200A,29.20622536,At grade SRN A Road
4000000009236217A,11.31384992,At grade SRN A Road
4000000009236225A,21.2719164,At grade SRN A Road
4000000009236438A,74.65467521,Roundabout
4000000009236459A,24.97215728,Roundabout
4000000009236460A,20.79782726,Roundabout
4000000009236477A,17.68554317,Roundabout
4000000009236509A,7.082762535,Roundabout
4000000009237639A,837.8569162,Mainline
4000000009237643A,335.2240999,Slip Road
4000000009237651A,105.2146733,Slip Road
4000000009237654A,159.4957016,Slip Road
4000000009237655A,111.6711837,Mainline
4000000009237665A,12.20633442,Slip Road
4000000009239629A,810.5942828,Mainline
4000000009239632A,125.2656625,At grade SRN A Road
4000000009239640A,43.46319654,At grade SRN A Road
4000000009239649A,233.3232092,At grade SRN A Road
4000000009239650A,10.44036398,At grade SRN A Road
4000000009239655A,234.8624768,At grade SRN A Road
4000000009239656A,296.8158651,At grade SRN A Road
4000000009239659A,63.24141236,At grade SRN A Road
4000000009239662A,198.8112173,At grade SRN A Road
4000000009239673A,86.40452843,At grade SRN A Road
4000000009239714A,44.60390423,At grade SRN A Road
4000000009239715A,93.77734989,At grade SRN A Road
4000000009239819A,157.4595435,At grade SRN A Road
4000000009264163A,391.948133,Slip Road
4000000009264164A,362.2581124,Mainline
4000000009264166A,356.4715577,Slip Road
4000000009266511A,1068.25544,Mainline
4000000009266512A,1064.723473,Mainline
4000000009266513A,458.3987235,Mainline
4000000009266514A,455.1092153,Mainline
4000000009266986A,727.9312118,Mainline
4000000009267296A,437.3412623,Slip Road
4000000009267297A,426.6019523,Mainline
4000000009267301A,483.7148386,Slip Road
4000000009267303A,410.8635013,Mainline
4000000009267306A,612.5999358,At grade SRN A Road
4000000009267307A,638.8807296,At grade SRN A Road
4000000009267309A,420.5570211,At grade SRN A Road
4000000009267310A,444.3155067,At grade SRN A Road
4000000009267312A,309.3073202,Mainline at junction
4000000009267315A,35.83793722,At grade SRN A Road
4000000009267316A,60.11054889,Roundabout
4000000009267318A,65.51517241,Roundabout
4000000009267320A,45.51877513,Roundabout
4000000009267321A,46.50407388,Roundabout
4000000009267323A,45.58789389,Roundabout
4000000009267324A,29.2750255,Roundabout
4000000009267325A,19.02242354,Roundabout
4000000009267326A,25.35909985,Roundabout
4000000009267327A,26.92302264,Roundabout
4000000009267328A,19.50903483,Roundabout
4000000009267329A,22.82145467,Roundabout
4000000009267494A,34.17035166,Roundabout
4000000009267495A,29.71261458,Roundabout
4000000009267496A,40.62647621,Roundabout
4000000009267499A,11.27979011,Roundabout
4000000009267500A,10.38497196,Roundabout
4000000009267503A,10.04967661,Roundabout
4000000009268529A,7.353419831,At grade SRN A Road
4000000009268626A,87.42321056,At grade SRN A Road
4000000009268639A,54.38537048,At grade SRN A Road
4000000009268646A,27.20274218,At grade SRN A Road
4000000009268659A,22.9994,At grade SRN A Road
4000000009270236A,510.2347555,At grade SRN A Road
4000000009270237A,87.25878758,At grade SRN A Road
4000000009271966A,17.09475559,At grade SRN A Road
4000000009271980A,50.76172864,At grade SRN A Road
4000000009279537A,739.1326469,At grade SRN A Road
4000000009279538A,777.6673213,At grade SRN A Road
4000000009279540A,389.2536879,At grade SRN A Road
4000000009279544B,134.4400141,At grade SRN A Road
4000000009279544A,134.4400141,At grade SRN A Road
4000000009279549A,80.92850073,At grade SRN A Road
4000000009279562A,37.90864664,Roundabout
4000000009279563A,35.64928136,Roundabout
4000000009279845A,230.2829979,At grade SRN A Road
4000000009279846A,139.7939141,At grade SRN A Road
4000000009279847A,92.38210747,At grade SRN A Road
4000000009279848A,79.39494618,At grade SRN A Road
4000000009279852A,388.7949675,At grade SRN A Road
4000000009279853A,398.3379409,At grade SRN A Road
4000000009279856A,34.84758131,Roundabout
4000000009279858A,24.32083475,Roundabout
4000000009279861A,17.58313607,Roundabout
4000000009279862A,35.8602344,Roundabout
4000000009279863A,8.067013147,Roundabout
4000000009280603A,549.8250502,At grade SRN A Road
4000000009280606A,296.0547301,At grade SRN A Road
4000000009280607A,300.1786932,At grade SRN A Road
4000000009280610A,288.0474181,At grade SRN A Road
4000000009280617A,62.57369027,At grade SRN A Road
4000000009280628A,73.40214764,At grade SRN A Road
4000000009280630A,45.06217781,At grade SRN A Road
4000000009280631A,47.52910434,At grade SRN A Road
4000000009280632A,55.93150971,At grade SRN A Road
4000000009280635A,32.96570321,At grade SRN A Road
4000000009280651A,38.5107669,At grade SRN A Road
4000000009280652A,26.55016631,At grade SRN A Road
4000000009280653A,26.65296155,At grade SRN A Road
4000000009280661A,23.69362336,Roundabout
4000000009280663A,24.32773487,Roundabout
4000000009280674A,5.538144709,At grade SRN A Road
4000000009280675A,6.91722266,Roundabout
4000000009280676A,54.73725296,At grade SRN A Road
4000000009281314A,124.6873292,At grade SRN A Road
4000000009281316A,188.8650213,At grade SRN A Road
4000000009281498A,219.9961238,At grade SRN A Road
4000000009281499A,223.4960548,At grade SRN A Road
4000000009281500A,73.39968701,At grade SRN A Road
4000000009281501A,68.97308287,At grade SRN A Road
4000000009281502A,119.8592225,At grade SRN A Road
4000000009281504A,544.8683667,At grade SRN A Road
4000000009281506A,514.6318327,At grade SRN A Road
4000000009281507A,179.3073061,At grade SRN A Road
4000000009281510A,370.925448,At grade SRN A Road
4000000009281511A,467.8180121,At grade SRN A Road
4000000009281512A,263.3188093,At grade SRN A Road
4000000009282393A,223.2467577,At grade SRN A Road
4000000009282564A,46.31313484,Roundabout
4000000009282566A,57.97045598,Roundabout
4000000009282567A,31.47404522,Roundabout
4000000009283738A,681.3846384,At grade SRN A Road
4000000009283739A,679.8790203,At grade SRN A Road
4000000009284262A,17.12622938,At grade SRN A Road
4000000009284263A,573.6282811,At grade SRN A Road
4000000009284264A,651.5763725,At grade SRN A Road
4000000009284265A,639.3324332,At grade SRN A Road
4000000009284266A,115.9047696,At grade SRN A Road
4000000009284267A,175.9056776,At grade SRN A Road
4000000009284271A,10.64881989,At grade SRN A Road
4000000009284272A,25.61632241,At grade SRN A Road
4000000009284275A,29.11638978,At grade SRN A Road
4000000009284276A,91.78620162,At grade SRN A Road
4000000009284379A,668.3866751,At grade SRN A Road
4000000009284381A,45.21183764,At grade SRN A Road
4000000009284476A,767.5487108,At grade SRN A Road
4000000009284478A,427.2434416,At grade SRN A Road
4000000009284481A,99.71257425,At grade SRN A Road
4000000009284484A,67.50897367,At grade SRN A Road
4000000009284487A,52.33381787,At grade SRN A Road
4000000009284702A,260.0726783,At grade SRN A Road
4000000009289725A,247.6518115,Mainline
4000000009289726A,293.9070426,Slip Road
4000000009290773A,385.8145178,Mainline
4000000009290777A,33.53742334,Mainline
4000000009293025A,340.4544109,Slip Road
4000000009293044A,159.2993773,Slip Road
4000000009294129A,854.9197953,Mainline
4000000009294131A,489.9036759,Mainline
4000000009294133A,1239.881889,Mainline
4000000009294135A,950.5373544,Mainline
4000000009294619A,1265.113993,Mainline
4000000009294627A,254.5713252,Mainline
4000000009299549A,978.3332829,Mainline
4000000009299553A,551.7647903,Mainline
4000000009299555A,388.4328364,Mainline
4000000009299651A,968.428325,Mainline
4000000009302274A,1106.120809,Mainline
4000000009302987A,620.3688042,Mainline
4000000009302989A,690.5644901,Mainline
