Reference,A_Node,B_Node,A_Node_X,A_Node_Y,B_Node_X,B_Node_Y,Lanes,FF_Speed (kph),Distance (m),Average_Q (PCUs),Capacity (PCUs),V_C (%),Delay (s),Total_Time (s),Net_Speed_kph (kph),Actual_Flow_Total (PCUs),Demand_Flow_Total (PCUs),Capacity_Indices,Fixed_Flow (PCUs),Actual_Flow_UC1 (PCUs),Actual_Flow_UC2 (PCUs),Actual_Flow_UC3 (PCUs),Actual_Flow_UC4 (PCUs),Actual_Flow_UC5 (PCUs),Actual_Flow_UC6 (PCUs),Actual_Flow_UC7 (PCUs),Actual_Flow_UC8 (PCUs),Actual_Flow_UC9 (PCUs),Actual_Flow_UC10 (PCUs),Actual_Flow_%_HGV (%),Demand_Flow_UC1 (PCUs),Demand_Flow_UC2 (PCUs),Demand_Flow_UC3 (PCUs),Demand_Flow_UC4 (PCUs),Demand_Flow_UC5 (PCUs),Demand_Flow_UC6 (PCUs),Demand_Flow_UC7 (PCUs),Demand_Flow_UC8 (PCUs),Demand_Flow_UC9 (PCUs),Demand_Flow_UC10 (PCUs),Demand_Flow_%_HGV (%),Car_Veh_Actual_Tot,LGV_Veh_Actual_Tot,HGV_Veh_Actual_Tot,Car_PCU_Actual_Tot,LGV_PCU_Actual_Tot,HGV_PCU_Actual_Tot,Car_Veh_Demand_Tot,LGV_Veh_Demand_Tot,HGV_Veh_Demand_Tot,Car_PCU_Demand_Tot,LGV_PCU_Demand_Tot,HGV_PCU_Demand_Tot,Fixed_Tot,Fixed_PCU_Tot,Period,wkt_geom
5003-1013,5003,1013,56355,32087,56362,32076,1,30,130,0.06,382.95,12.61,10.43,26.03,17.98,48.3,48.3,0,0,15.34,0.3,2.75,0.35,1.02,16.34,4.4,5.35,1.99,0.46,0.00952381,15.34,0.3,2.75,0.35,1.02,16.34,4.4,5.35,1.99,0.46,0.952380952,45.85,1.99,0.2,45.85,1.99,0.46,45.85,1.99,0.2,45.85,1.99,0.46,0,0,PM,"LineString (56355 32087, 56362 32076)"
7047-1013,7047,1013,56385,32126,56362,32076,1,48,562,0,1447.19,42.26,6.65,48.8,41.46,611.56,612.02,43,6,148.31,13.88,11.33,18.38,10.71,95.94,194.98,43.62,63.68,4.74,0.00775067,148.42,13.89,11.34,18.39,10.71,96.01,195.12,43.66,63.73,4.74,0.774484494,537.15,63.68,2.060869565,537.15,63.68,4.74,537.54,63.73,2.060869565,537.54,63.73,4.74,3,6,PM,"LineString (56385 32126, 56362 32076)"
2032-1013,2032,1013,56386,32076,56362,32076,1,32,245,0.56,660,28.05,17.44,45,19.6,267.05,267.33,46,0,49.48,0.88,5.53,1.64,2.3,118.78,28.48,20.36,36.26,3.34,0.012507021,49.53,0.88,5.53,1.64,2.31,118.9,28.51,20.39,36.3,3.35,1.253132832,227.45,36.26,1.452173913,227.45,36.26,3.34,227.69,36.3,1.456521739,227.69,36.3,3.35,0,0,PM,"LineString (56386 32076, 56362 32076)"
1034-1014,1034,1014,56202,32040,56194,32053,1,48,163,1.62,1100,44.85,14.8,27.03,21.71,493.4,494.77,0,7.98,158.5,1.85,16.12,5.38,10.36,141.06,50.14,38.22,51.88,11.93,0.024179165,158.94,1.85,16.16,5.39,10.39,141.45,50.28,38.33,52.02,11.96,2.417284799,421.63,51.88,5.186956522,421.63,51.88,11.93,422.79,52.02,5.2,422.79,52.02,11.96,3.99,7.98,PM,"LineString (56202 32040, 56194 32053)"
2012-1014,2012,1014,56183,32055,56194,32053,2,32,113,2.34,882.22,37.68,32.58,45.3,8.98,332.41,332.77,0,0,148.08,0.03,14.55,0.09,2.44,125.25,0.89,8.9,27.28,4.9,0.014740832,148.25,0.03,14.56,0.09,2.44,125.39,0.89,8.91,27.31,4.91,1.475493584,300.23,27.28,2.130434783,300.23,27.28,4.9,300.56,27.31,2.134782609,300.56,27.31,4.91,0,0,PM,"LineString (56183 32055, 56194 32053)"
1011-1014,1011,1014,56192,32066,56194,32053,2,48,132,0.13,2083.96,24.09,3.18,13.08,36.32,501.93,502.63,0,15.98,139.68,5.91,8.57,11.61,13.55,68.9,109.46,52.2,58.98,17.1,0.034068496,139.87,5.92,8.58,11.62,13.57,68.99,109.61,52.27,59.06,17.13,3.408073533,409.88,58.98,7.434782609,409.88,58.98,17.1,410.43,59.06,7.447826087,410.43,59.06,17.13,7.99,15.98,PM,"LineString (56192 32066, 56194 32053)"
4010-1015,4010,1015,56236,32037,56257,32049,1,48,261,3.36,972.14,62.67,24.61,44.19,21.26,609.26,610.19,0,47.93,198.63,1.05,27.45,1.65,9.36,207.48,21.99,48.68,44.62,0.43,0.000705774,198.93,1.05,27.5,1.65,9.38,207.79,22.02,48.75,44.69,0.43,0.070469854,516.29,44.62,0.186956522,516.29,44.62,0.43,517.07,44.69,0.186956522,517.07,44.69,0.43,23.965,47.93,PM,"LineString (56236 32037, 56257 32049)"
1120-1015,1120,1015,56253,32070,56257,32049,1,48,204,1.05,1024.14,40.3,11.31,26.61,27.6,412.78,412.97,0,0,123.02,4.26,17.97,5.19,7.25,125.57,64.84,30.8,33.88,0,0,123.07,4.26,17.98,5.19,7.25,125.62,64.87,30.81,33.9,0,0,378.9,33.88,0,378.9,33.88,0,379.05,33.9,0,379.05,33.9,0,0,0,PM,"LineString (56253 32070, 56257 32049)"
1016-1015,1016,1015,56281,32044,56257,32049,2,48,245,1.97,1781.67,41.33,31.27,49.65,17.77,736.31,737.27,0,43.94,218.75,4,17.36,11.48,14.79,156.59,134.62,70.97,63.22,0.58,0.000787712,219.04,4.01,17.38,11.5,14.81,156.8,134.8,71.06,63.3,0.58,0.078668602,628.56,63.22,0.252173913,628.56,63.22,0.58,629.4,63.3,0.252173913,629.4,63.3,0.58,21.97,43.94,PM,"LineString (56281 32044, 56257 32049)"
4012-1016,4012,1016,56296,32048,56281,32044,1,40,158,5.04,974.39,88.35,35.98,50.2,11.33,860.89,861.76,0,43.96,251.13,8.25,19.68,17.43,16.82,180.13,192.03,80.16,51.3,0,0,251.39,8.26,19.7,17.45,16.83,180.32,192.23,80.24,51.35,0,0,765.63,51.3,0,765.63,51.3,0,766.42,51.35,0,766.42,51.35,0,21.98,43.96,PM,"LineString (56296 32048, 56281 32044)"
