Centroid?,Zone Number,X,Y
C,21155,383970,221475
C,21156,386479,220835
C,21157,386125,222219
C,21158,385120,224925
C,21159,387766,217856
C,21160,387835,221403
C,21161,388511,219675
C,21162,389138,217197
C,21163,383714,228769
C,21164,389248,215416
C,21165,389424,224062
C,21166,391100,218252
C,21167,391194,214850
C,21168,388990,227995
C,21169,392978,218727
C,21170,391910,225303
C,21171,388876,231509
C,21172,390752,232059
C,21173,395223,227491
C,21174,394326,229755
C,21175,392853,232778
C,21176,389400,236660
C,21177,398689,226262
C,21178,403976,230808
C,21179,380434,214838
C,21180,381281,213514
C,21181,382113,214751
C,21182,382496,216244
C,21183,383138,214919
C,21184,381966,217911
C,21185,384285,215855
C,21187,384889,214852
C,21188,385522,216325
C,21189,384225,218685
C,21190,385404,217175
C,21191,385917,215515
C,21192,383852,219791
C,21193,385090,218835
C,21194,386650,216410
C,21195,385844,218299
C,21196,386920,217553
C,21197,385925,219316
C,21198,385286,220009
C,21199,384469,192356
C,21200,389125,193463
C,21201,391757,196738
C,21202,395448,201166
C,21203,399059,197577
C,21204,399340,202410
C,21205,396861,207083
C,21206,403388,196720
C,21207,400792,203485
C,21208,401895,203494
C,21209,402736,203106
C,21210,404061,200826
C,21211,403589,201982
C,21212,395017,212941
C,21213,402385,208253
C,21214,397415,215051
C,21215,410186,199532
C,21216,408951,206524
C,21217,405975,212579
C,21218,402240,216575
C,21219,416943,200759
C,21220,411383,213754
C,21221,406294,219713
C,21222,417596,210501
C,21223,414191,224007
C,21224,420345,229523
C,21225,415842,238814
C,21226,391191,222257
C,21227,391400,221421
C,21228,391595,223119
C,21229,392310,222661
C,21230,392848,222441
C,21231,391912,223947
C,21232,392752,223529
C,21233,392449,220602
C,21234,393672,222900
C,21235,393582,221162
C,21236,394504,221876
C,21237,394783,223480
C,21238,393858,225040
C,21239,394375,219948
C,21240,395573,222791
C,21241,395783,224633
C,21242,395759,219807
C,21243,396640,223008
C,21244,396801,221936
C,21245,397005,223979
C,21246,397345,219205
C,21247,398013,221251
C,22001,243437,55308
C,22002,241861,53012
C,22003,245793,55948
C,22004,246580,55613
C,22005,245318,54849
C,22006,246782,54159
C,22007,253078,53723
C,22008,250784,53800
C,22009,251569,52371
C,22010,292237,67438
C,22011,290786,65376
C,22012,292417,65247
C,22013,292110,64709
C,22014,291248,64015
C,22015,293361,61217
C,22016,288602,62380
C,22017,288089,61096
C,22018,289031,60683
C,22019,288444,59247
C,22020,292810,56169
C,22021,292169,54877
C,22022,293879,74503
C,22023,293361,73065
C,22024,292326,93455
C,22025,290338,93807
C,22026,293743,93067
C,22027,292927,91932
C,22028,291108,91890
C,22029,290320,91588
C,22030,293862,91480
C,22031,292341,95120
C,22032,366522,84578
C,22033,369719,82552
C,22034,366763,81397
C,22035,367988,79046
C,22036,366625,78892
C,22037,367029,77828
C,22038,366288,77166
C,22039,368640,73778
C,22040,368572,70727
C,22041,392431,90085
C,22042,396227,82953
C,22043,402211,79157
C,22044,402002,94699
C,22045,402721,94038
C,22046,400117,93606
C,22047,405332,93807
C,22048,403989,93262
C,22049,406663,92872
C,22050,405271,92490
C,22051,402934,92494
C,22052,401522,92491
C,22053,404699,91103
C,22054,398423,91290
C,22055,401515,90868
C,22056,400081,90329
C,22057,403597,90258
